"","model","gene.markers","mode","n.iterations","n.genes","weights"
"A2B1C1D3E1F3","nnls","YES","fixed",1000,"200","d"
"A3B1C1D3E1F3","linear","YES","fixed",1000,"200","d"
"A1B2C1D3E1F3","nusvr","NO","fixed",1000,"200","d"
"A2B2C1D3E1F3","nnls","NO","fixed",1000,"200","d"
"A3B2C1D3E1F3","linear","NO","fixed",1000,"200","d"
"A1B1C1D1E2F3","nusvr","YES","fixed",100,"400","d"
"A2B1C1D1E2F3","nnls","YES","fixed",100,"400","d"
"A3B1C1D1E2F3","linear","YES","fixed",100,"400","d"
"A1B2C1D1E2F3","nusvr","NO","fixed",100,"400","d"
"A2B2C1D1E2F3","nnls","NO","fixed",100,"400","d"
"A3B2C1D1E2F3","linear","NO","fixed",100,"400","d"
"A1B1C1D2E2F3","nusvr","YES","fixed",500,"400","d"
"A2B1C1D2E2F3","nnls","YES","fixed",500,"400","d"
"A3B1C1D2E2F3","linear","YES","fixed",500,"400","d"
"A1B2C1D2E2F3","nusvr","NO","fixed",500,"400","d"
"A2B2C1D2E2F3","nnls","NO","fixed",500,"400","d"
"A3B2C1D2E2F3","linear","NO","fixed",500,"400","d"
"A1B1C1D3E2F3","nusvr","YES","fixed",1000,"400","d"
"A2B1C1D3E2F3","nnls","YES","fixed",1000,"400","d"
"A3B1C1D3E2F3","linear","YES","fixed",1000,"400","d"
"A1B2C1D3E2F3","nusvr","NO","fixed",1000,"400","d"
"A2B2C1D3E2F3","nnls","NO","fixed",1000,"400","d"
"A3B2C1D3E2F3","linear","NO","fixed",1000,"400","d"
"A1B1C1D1E3F3","nusvr","YES","fixed",100,"all","d"
"A2B1C1D1E3F3","nnls","YES","fixed",100,"all","d"
"A3B1C1D1E3F3","linear","YES","fixed",100,"all","d"
"A1B2C1D1E3F3","nusvr","NO","fixed",100,"all","d"
"A2B2C1D1E3F3","nnls","NO","fixed",100,"all","d"
"A3B2C1D1E3F3","linear","NO","fixed",100,"all","d"
"A1B1C1D2E3F3","nusvr","YES","fixed",500,"all","d"
"A2B1C1D2E3F3","nnls","YES","fixed",500,"all","d"
"A3B1C1D2E3F3","linear","YES","fixed",500,"all","d"
"A1B2C1D2E3F3","nusvr","NO","fixed",500,"all","d"
"A2B2C1D2E3F3","nnls","NO","fixed",500,"all","d"
"A3B2C1D2E3F3","linear","NO","fixed",500,"all","d"
"A1B1C1D3E3F3","nusvr","YES","fixed",1000,"all","d"
"A2B1C1D3E3F3","nnls","YES","fixed",1000,"all","d"
"A3B1C1D3E3F3","linear","YES","fixed",1000,"all","d"
"A1B2C1D3E3F3","nusvr","NO","fixed",1000,"all","d"
"A2B2C1D3E3F3","nnls","NO","fixed",1000,"all","d"
"A3B2C1D3E3F3","linear","NO","fixed",1000,"all","d"
"A1B1C2D1E1F1","nusvr","YES","standard",100,"200","c"
"A2B1C2D1E1F1","nnls","YES","standard",100,"200","c"
"A3B1C2D1E1F1","linear","YES","standard",100,"200","c"
"A1B2C2D1E1F1","nusvr","NO","standard",100,"200","c"
"A2B2C2D1E1F1","nnls","NO","standard",100,"200","c"
"A3B2C2D1E1F1","linear","NO","standard",100,"200","c"
"A1B1C2D2E1F1","nusvr","YES","standard",500,"200","c"
"A2B1C2D2E1F1","nnls","YES","standard",500,"200","c"
"A3B1C2D2E1F1","linear","YES","standard",500,"200","c"
"A1B2C2D2E1F1","nusvr","NO","standard",500,"200","c"
"A2B2C2D2E1F1","nnls","NO","standard",500,"200","c"
"A3B2C2D2E1F1","linear","NO","standard",500,"200","c"
"A1B1C2D3E1F1","nusvr","YES","standard",1000,"200","c"
"A2B1C2D3E1F1","nnls","YES","standard",1000,"200","c"
"A3B1C2D3E1F1","linear","YES","standard",1000,"200","c"
"A1B2C2D3E1F1","nusvr","NO","standard",1000,"200","c"
"A2B2C2D3E1F1","nnls","NO","standard",1000,"200","c"
"A3B2C2D3E1F1","linear","NO","standard",1000,"200","c"
"A1B1C2D1E1F2","nusvr","YES","standard",100,"200","cd"
"A2B1C2D1E1F2","nnls","YES","standard",100,"200","cd"
"A3B1C2D1E1F2","linear","YES","standard",100,"200","cd"
"A1B2C2D1E1F2","nusvr","NO","standard",100,"200","cd"
"A2B2C2D1E1F2","nnls","NO","standard",100,"200","cd"
"A3B2C2D1E1F2","linear","NO","standard",100,"200","cd"
"A1B1C2D2E1F2","nusvr","YES","standard",500,"200","cd"
"A2B1C2D2E1F2","nnls","YES","standard",500,"200","cd"
"A3B1C2D2E1F2","linear","YES","standard",500,"200","cd"
"A1B2C2D2E1F2","nusvr","NO","standard",500,"200","cd"
