	Cancer_cells	Stromal_cells	Macro/mono_Lineage	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
HMOX1	3272.9442448048	1710.38706234046	8817.65203473326	174.874982244469	83.5887948510928	24.8477909243403	279.108131116695	93.6052578160002	117.234864739864
CREG1	15166.6315189307	5062.06673398548	9443.51043829978	100.038786827941	139.167792918641	118.711419341462	313.026077455586	97.5786626523475	69.2989306004586
PLA2G7	250.392746671734	91.8169069854587	7877.01172522342	8.16287209445383	15.1162111967897	2.32659187662646	0.74112595501115	0	14.3464997397335
CSTA	2522.50127943441	586.664284923851	7658.65123288421	3.27358877935421	3.58388330644192	12.1569442298117	35.9666896189823	9.8851177707082	7.99665796817858
C1orf162	500.360619848573	404.824680769913	10022.8901572456	469.537942253899	65.6426230665851	565.582679838393	598.599857575045	639.493247315442	100.134862493007
LY96	344.64148323764	5459.2714405277	10577.9547725747	458.738536435003	306.448316278174	225.645768728657	76.5344883908984	16.3661555843711	32.5926946284313
RNF130	11912.9583768198	4424.98299954596	10483.3903686766	80.7900743514577	69.5873168413622	80.2420580800161	40.9181057797521	269.8565156238	30.2995774499398
SLC11A1	384.236116793468	371.763682001417	6773.69881704994	12.5719463729675	5.42730380305198	6.57397528915275	29.3133603091557	5.68665808644322	8.43602600062996
MNDA	457.931044289953	281.912888599834	8973.90502751834	192.406739475988	17.3845114382443	5.93549824725965	6.24810626817569	5.88262710902945	17.0384436451121
FPR3	380.19476637891	46.3147396128288	8120.37605010905	0.549374902989714	2.43736414372728	6.04050664078526	0	2.019413826256	0.975632322802001
CD163	494.958092272706	69.0383189190609	6604.94137412257	1.10609474409647	1.28820468184997	2.96691788031211	55.2144269344791	5.1679873323401	2.09526905558238
KCTD12	2175.67292674614	6809.30556308573	9355.66479288552	37.5626235226774	17.5782514650181	8.54696889914159	11.0671006163845	33.3672318829599	0.739252720468942
RNASE6	1076.29131786392	171.306772544316	8694.01442917764	764.00387385082	18.6798315056137	2.04114373188281	119.48421493941	9.73769419697862	44.5570224617481
FAM26F	657.719133050532	336.232919677563	8653.68217286159	311.580931747556	29.5405061232313	19.5830011102215	115.224382558702	35.0745317962685	7.66988765573807
MSR1	237.341809763884	102.419078137377	6244.07218479926	0	1.7322867108586	0	0	3.68466070537977	0.990671379167379
ICAM1	2615.62398629109	19704.2135539886	9257.13408197138	178.981593887603	148.706768718969	142.430561128175	380.381239327229	171.458910085517	43.0399825647022
CXCL16	17428.4282878536	1044.99896811487	8105.28110587324	122.15463939184	74.3827038090421	70.7590458944992	147.334807148735	27.7598402236308	58.8844474866637
LINC01272	1125.20672685721	233.742131639287	5020.18056699742	0.819238850617256	3.35106399658692	4.45552004120821	3.34362985689385	58.5672422713644	1.63364074348807
MRC1	134.186521781215	107.082259587276	7129.98242367885	4.9390057362981	22.277466252083	15.4401294237056	10.4144016851065	1.35680984283967	3.43534790419164
TREM1	445.674466277617	959.613280148652	5245.17857459018	13.3140429134025	5.9235652452008	13.2133847890228	102.799116649412	0.59934261079297	7.76378445667092
CLEC7A	282.337565287713	149.889807400213	7516.46303323719	2.22414201095305	349.071284353142	52.8661175755528	213.29523031379	20.7733675571603	29.0339722490608
FGL2	217.500477099936	786.898458365481	10344.4846027148	232.28785296629	138.69003308075	145.322172445902	230.2509846247	299.893024429732	49.6839424146647
TREM2	218.062814532966	159.505696494068	6214.31511287567	0	0	0	4.06751879655002	2.27650043200456	3.70891748022365
TNFSF13B	923.586480092473	1406.42665603591	8759.56711910272	28.9661431831819	415.232661736538	581.435910675637	450.172442447122	61.3090722784101	74.6958380480025
AQP9	183.420712057455	200.289421647251	4212.00157723338	0	0	0	3.78612535417939	4.90691298586881	3.70539109322711
CPVL	2374.03340931525	658.760472329134	6305.18704633683	5.48708291291825	13.4346468312555	3.17190189469768	1.59643928143327	2.88934330223853	6.46374633404522
LILRB4	110.893991621483	35.6435282592425	6285.66978568762	2.96779984512685	5.46820412278562	4.37346951840099	0.787651034062448	6.04499110180113	5.74003511927115
CSF1R	141.552566103736	200.84703959776	6295.62460238279	1.87188406699429	1.37279363182616	1.39892093533326	137.854693035626	4.67690098046061	1.7257824772039
CYBA	159211.352548845	25418.3084361445	81904.3509483324	11700.8456701471	7263.85609198721	6189.64035589881	20844.7120290524	7949.98961925219	6206.55508384127
NCF2	263.921088292742	169.16090651154	5652.01150461348	39.2538980195012	34.5705661118605	0.870262531099131	32.0208272940245	2.124000752137	1.57323983616919
KYNU	464.115133313829	369.030996631405	5487.65722379982	736.468344203713	14.8379794260997	2.77899821186902	4.54905375813839	3.66415049931613	28.7298470248002
MFSD1	4015.85486521282	2814.32101013444	7020.47431569626	91.1680273243101	155.825808192075	142.842287133625	258.818388942891	170.674071113904	98.242161538717
CD86	263.699786771807	99.8999249871484	5817.85890168761	569.233039214664	35.173415038747	33.8613834471205	194.988757101114	2.2202278593668	20.6803288235085
ATP6V1B2	4284.54350884973	2889.23763421127	7203.00117456997	164.03665246548	251.504132837312	161.293491792628	505.219950190864	139.336408450864	176.486982207457
TNFAIP2	3520.71518273812	6597.552422099	6725.20089579291	2.54964417830832	8.94024242747282	8.090303229914	3.6356333837008	7.37682794610513	8.10187745054906
CFD	6814.24430091078	26029.663018444	10759.2611452131	67.1646701099905	60.5259876565999	45.9934397126413	129.912555106284	83.128109258248	67.7946130186624
IFI30	1043.7431791737	487.022913899026	5987.76595550127	267.67724870451	8.82430975088007	11.9255159317891	14.5844634468555	27.0521125710624	3.88572232660473
SLC7A7	1902.38816322984	1290.78311470793	5398.83684793185	91.8924738594094	8.55261764869439	15.0611053878403	18.3212312484358	11.3903094654862	36.5662209435596
STAB1	150.820808997721	2388.27364898405	5536.72943067077	8.2801505944267	5.88693204050241	4.14135805903623	20.3225789376121	0	4.21758136169166
PILRA	91.9192111300162	84.5476834790368	4893.25464851036	9.29816638869654	18.3163350945468	0	37.3993795632775	1.11516561197995	1.33394238077314
VSIG4	214.018112332186	53.0848429971859	4459.63924432884	8.917057327686	8.9086514135015	1.21909021443653	0	0	2.81807195747958
MPEG1	80.5919941988499	41.7279364519295	6014.10413373286	417.653160335004	3.98171925260348	2.05819298818851	3.97070670825493	5.34035793815786	9.75179142924889
ABCA1	1047.72621047612	2545.39115201104	5459.9639299284	60.0608020965425	13.1921305401516	31.8197601004382	38.7446473696717	102.03659189849	7.90909249946919
FPR1	35.2622231476931	74.937203925901	3733.214728245	10.9534024981933	0	6.0051440618706	161.495652507127	2.9432308466698	2.68262987568422
FCGR2B	166.494717476762	101.847503897436	4411.01687511832	418.219155039591	14.6700852940582	5.97922620931762	206.2478815919	11.1487384616458	4.67248466727443
SLCO2B1	2004.1554587005	508.409221397243	4917.26899002892	2.09392135689086	7.56638481101231	10.9258046609653	63.7220692247062	27.2410885423698	0.760127013693864
PHACTR1	204.117927431245	920.893442994636	5594.52585763229	1265.15125422287	14.8756755642151	85.3230638268966	157.554802182028	22.9829422355606	8.4307415865626
FCGR1A	22.4597295236389	30.5491414571888	4009.950598095	1.30354577298426	6.03006954658322	0.689497072949769	97.2495963382239	1.25296771410063	0.715907911566683
HCK	125.03217378657	753.7669847449	4369.05067013683	47.9455502986465	1.40681215698179	12.2583655577794	5.09703255766743	0.776483714286774	2.41911837898274
SLC16A10	1013.67825052021	195.176137088153	3048.9450076583	4.76220651901518	72.1879355659251	8.83385931417614	44.873441277546	0	2.55704825658774
CLEC4A	139.58917584046	129.675008721153	4307.0788746112	31.703499264591	6.64846621773866	6.79984725639147	31.9709040873187	5.62017459125939	3.43453945173146
LAIR1	708.209859930249	276.777989446589	5112.49443530736	123.786046441377	126.123987923779	261.519257685943	383.548860943952	158.07440684378	101.21816357382
DSE	844.407075008153	2333.48064244034	4435.52970314768	65.757752105449	32.0888615188149	144.384119582299	140.771090195714	19.2158651010703	39.4863268047524
MPP1	3126.47902522337	983.451840438825	3968.30702528322	37.3766385955558	58.4901870135533	43.160716392392	225.425882572908	21.2476716389945	42.1631477407018
CECR1	430.255504381653	438.624829626926	5091.79457705848	87.4506182210018	36.8246386004129	83.9353607547788	336.268891364204	97.8375040202888	120.948620339105
