	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
LY96	171.558088240544	4584.25262843585	17871.8843952995	3574.90174787251	738.121653615908	824.036671171468	310.087185023243	298.910101718235	76.5344883908984	16.3661555843711	43.4153077662689
CD163	104.588600360372	52.9168506779919	11997.2023209179	1865.0056492941	95.9235671797541	0.532656966160221	0	5.88202601356656	55.2144269344791	5.1679873323401	3.61576846442521
LIPA	4777.84347291027	3437.91629628891	19222.358660338	1250.56018290306	438.342591548953	286.568002619534	200.734269711747	271.718988786449	564.324342901608	153.620623664796	217.021396232812
IGSF6	122.4047102088	60.2369054317462	21812.432883768	2909.89439819595	395.9859342589	12.6778025362678	5.67749209541092	23.0531333254505	12.9512058498851	5.31190377385105	7.41268112785482
RP11-1143G9.4	5132.11773848657	305.681527805457	35388.2767005866	14729.9531524591	1025.6685619018	33.2720045473772	79.9858860581429	84.6889900219082	60.9337406591821	28.2310509989792	25.3453508743523
TMEM176A	38902.7607779	17524.0644455876	20342.0133690725	2137.01421003837	712.228597783635	136.295817911825	85.0694898339876	40.2115895175194	114.787063543487	76.1017043555992	42.9403849474144
CXCL16	15935.008185214	1392.1323118499	14613.1337000693	2037.01197258684	547.413591776204	141.736278449078	58.3690691002362	52.0715953800251	147.334807148735	27.7598402236308	103.002345345332
LST1	755.93381173359	207.905357201253	33155.1762861938	17022.4125204891	2225.82417894748	197.736574234888	512.881550801547	327.823384744171	801.386359226811	83.9879082597605	180.043748990266
KCTD12	2525.38597126615	7220.8888750476	13864.6421434231	3319.24351799144	266.402087579986	10.4479408507359	9.40760882015034	5.38641009167722	11.0671006163845	33.3672318829599	9.09066813354428
MRC1	242.396138231845	49.2842874246224	10449.6907795502	1165.13208775974	460.162274349628	0.489299723641129	26.0724322369124	7.50113717955966	10.4144016851065	1.35680984283967	4.25601774184808
SLCO2B1	1851.55511236933	436.438802182355	12082.7690350184	217.024898705034	54.4617207430059	0	0.999084215063335	2.85328918937518	63.7220692247062	27.2410885423698	3.75765143583781
