	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
IFI27	406407.114382019	104267.198037019	26071.6086285265	2652.10263639423	1356.74698563674	927.59479904126	727.059443494847	574.313068096106	1883.30096117828	509.019292861307	724.942095146279
CEACAM5	216550.751339779	1256.72862193029	684.18158405539	288.788633949586	217.53263043756	223.875175612084	91.1074691032884	126.384279953536	241.879513413393	49.5172749126876	107.556261721442
PIGR	207129.184754913	1493.79721244482	1225.96366945871	344.574230817535	430.374787177844	236.914776957019	110.160752533302	226.597626302836	375.368074885868	184.26144376046	129.775102958806
TFF1	163754.666891522	1722.36301485715	1076.18686051163	398.651630196205	360.40905753267	397.104560747702	151.389474978544	202.49605407396	462.38278711961	117.198904409235	177.527397221122
C19orf33	127786.050135944	1612.71268698556	1277.30742497787	445.329277859894	404.306279822339	70.0735516741183	137.516835153355	120.7401280783	518.65354384621	217.988730011705	132.14237154584
S100A6	2357618.83105615	339965.540522045	141338.10978025	64265.8204825253	20556.33509623	5457.34847527528	13906.0025270384	12661.5935333217	38893.8639044939	6975.83057804099	8508.95011771868
GPX2	156295.951987571	3182.72690610878	2047.53906061271	668.752522312391	372.008034224998	312.611337925082	256.495267336597	240.443701215849	505.936089368203	262.21204913234	169.892915406569
GDF15	96244.6040537696	9521.3252971726	1268.14045867461	318.0654908009	179.441033720093	193.430177350107	165.482181069101	127.85747249885	376.6069332823	112.732275665749	137.786318373412
CEACAM6	128184.584587487	610.178844761773	478.539153043022	232.144402091522	190.267964000539	173.152222046449	117.278446437018	118.117167712857	328.114345433164	66.1396979684574	101.395859928293
S100A14	95913.6706512582	1612.70440861241	949.290068455985	388.817595457723	317.208110764589	88.3569380394588	173.991929469	109.496358988223	243.740127932979	110.26202260583	111.437955530434
PERP	139461.478829878	7194.2130649837	747.260708507549	315.29889595704	467.575649888415	356.120082302765	655.150972210805	838.771443550478	2103.41956972964	210.768763843478	405.786989690377
MMP7	62485.171491591	1202.98841496731	837.239905553216	118.418800133012	206.635226388313	121.821119028788	81.2113109986931	113.49640212268	140.403914135559	20.0091908162895	51.349364070877
SPINT2	171079.983748742	2069.31646352978	13578.9701326779	2071.56535364861	1995.00724227392	987.251966960507	319.569593785935	344.771150668217	574.795914218884	203.191646945659	177.878660808331
SPINK1	166148.994277922	1897.29277267824	1212.79021332148	249.937046384611	231.789989045997	143.194212252128	171.837676025304	178.29869417941	337.993968048003	130.210241957233	171.413721662986
PHLDA2	127743.679410091	14690.2985033823	5562.60892607842	2352.2109344732	852.746835026321	264.868415083982	688.740838730624	425.008687542002	723.510313589582	213.831724183648	253.767389374724
CLDN7	103185.829412981	1178.98339621432	1396.3029305637	309.522825741033	182.17899872693	84.2347858992077	114.215264480631	128.52090474652	272.060708057537	76.5192662288236	100.386864752939
SFN	66308.8448888912	761.662054621022	443.006588313165	171.287772379007	218.516414121809	106.648304002589	139.930248286369	79.0123899275084	371.426719515023	129.035657553163	117.185264914047
SMIM22	95919.0033549621	899.536464836266	634.694035777499	230.721724339234	194.12701395544	70.7416312432823	185.915200087254	187.414802403306	200.116376128555	96.2697027832743	83.7812207267266
SLPI	63788.1708451556	1539.31717221017	589.628938302016	200.030946847152	110.317232814865	198.25701153597	74.3111753214899	72.8297707118724	105.562579018529	77.4512602442431	44.8737178242694
LGALS3	321402.143145001	31172.9509261196	46316.0124820218	7527.89897277555	2508.76561261107	547.279421488014	2092.10386895478	1652.68652439299	5365.38195428054	936.597990767266	1128.45774683108
GPRC5A	72838.8811064346	5237.49873912644	619.869944032943	284.589650908641	198.366716515184	115.546851706837	94.7485825701297	53.2951816998346	259.72081971671	47.0915423545872	73.4676560392318
TM4SF1	126342.659621949	40955.539582429	914.861742989827	760.316856575815	274.508125149939	207.2829312415	197.967425686306	168.976949192094	470.694963749228	75.7133600547916	152.260056134096
