"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"TRBV7-3",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"TRBV7-4",1,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0,0
"TRBV7-6",7,1,7,1,0,11,2,1,0,0,8,12,1,6,4,7,0,0,0,0,0,0,0
"TRBV7-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRBV7-9",3,1,32,0,0,0,1,4,6,0,4,0,3,0,0,0,0,0,30,0,0,0,0
"TRBV9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TRDC",32,92,457,17,20,25,37,15,13,22,161,116,14,23,6,15,26,0,0,13,1,33,0
"TRDD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDD2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRDD3",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"TRDJ1",2,1,3,0,0,0,1,0,0,1,1,0,0,1,0,0,8,0,0,0,0,0,0
"TRDJ2",0,3,9,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"TRDJ3",3,3,9,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"TRDJ4",0,3,7,0,0,0,3,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0
"TRDMT1",260,544,546,265,475,404,534,251,705,281,450,369,147,297,181,193,440,223,460,421,75,316,168
"TRDN",10,2,2,0,0,1,0,0,2,1,1,0,0,0,0,6,3,0,0,0,0,0,0
"TRDV1",13,18,135,0,0,0,3,0,0,1,48,53,6,3,1,4,18,0,0,0,0,9,41
"TRDV2",0,0,11,0,0,0,3,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,0
"TRDV3",3,0,10,0,0,0,5,4,0,0,10,4,0,2,0,3,6,0,0,0,0,6,0
"TREH",19,10,76,7,126,389,76,7,28,83,52,49,46,44,0,183,3,255,226,185,0,32,0
"TREM1",244,338,863,349,45,13,372,38,11,209,198,231,3437,743,154,257,29,33,769,100,0,63,793
"TREM2",204,172,591,78,60,38,261,39,73,102,75,21,77,410,631,39,163,1,167,271,83,61,1174
"TREML1",10,19,54,14,0,2,19,14,4,8,9,11,10,12,9,3,10,0,18,1,30,0,0
"TREML2",23,21,172,21,187,18,51,18,16,41,17,27,190,130,5,24,50,42,35,22,45,24,0
"TREML4",1,0,33,20,0,0,3,0,2,7,0,0,31,57,0,2,0,0,0,8,0,0,0
"TRERF1",498,1354,1615,458,367,396,490,2029,353,275,328,480,322,328,257,158,424,951,505,395,426,168,31
"TREX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TREX2",8,35,54,36,25,33,28,28,32,11,9,5,5,16,22,10,23,178,86,13,1,48,0
"TRGC1",45,69,138,12,31,29,45,26,2,37,205,143,56,33,3,55,52,0,34,0,0,7,22
"TRGC2",74,103,267,10,42,23,97,17,0,28,241,124,32,85,16,44,48,0,33,0,0,6,44
"TRGJ1",0,3,7,0,0,0,4,0,0,1,6,0,4,3,0,3,1,0,0,0,0,0,0
"TRGJ2",2,5,3,0,0,9,1,0,1,1,9,0,0,3,0,7,6,0,0,0,0,0,0
"TRGJP",2,2,0,16,0,0,0,2,0,4,12,5,8,0,0,1,1,0,0,0,0,0,0
"TRGJP1",2,4,0,0,0,8,5,0,0,4,2,2,6,0,0,4,2,0,0,0,0,0,0
"TRGJP2",5,2,6,0,0,0,6,3,0,7,13,18,5,4,0,2,0,0,0,0,0,0,0
"TRGV1",0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"TRGV10",18,21,40,0,0,4,12,8,0,9,50,58,4,12,0,13,18,0,0,0,0,9,14
"TRGV11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRGV2",11,5,12,0,0,0,8,0,0,6,30,15,3,7,0,3,5,1,0,0,0,0,0
"TRGV3",3,1,56,8,0,15,5,14,1,3,9,0,0,12,3,1,0,0,10,0,0,0,16
"TRGV4",0,0,41,0,0,8,7,8,0,0,0,0,0,10,3,1,2,0,0,23,0,0,0
"TRGV5",0,0,56,0,0,0,6,0,2,0,0,0,3,14,0,10,0,0,6,10,0,0,0
"TRGV8",6,0,22,0,0,0,9,3,0,3,14,19,3,7,0,2,0,0,0,0,0,0,0
"TRGV9",3,9,26,5,0,0,9,0,0,9,28,10,3,9,3,7,3,0,13,7,0,8,10
"TRH",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRHDE",37,75,77,10,76,219,1390,60,250,62,626,389,14,37,48,67,44,0,10,230,17,27,38
"TRHR",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"TRIAP1",396,453,790,256,230,321,1107,295,754,331,494,346,378,416,189,425,397,31,1159,788,2165,791,605
