"","values","cell_types","models","cols"
"160",0.667431330015485,"CD8 Tcells","BisqueRNA","uncorrected_gdwoOthers"
"161",0.0267783183471609,"Proliferative Tcells","BisqueRNA","uncorrected_gdwoOthers"
"162",0.0380595809723077,"NK cells","BisqueRNA","uncorrected_gdwoOthers"
"163",0.322153767038312,"Cancer cells","BSeqSC","uncorrected_gd"
"164",0.461274145900048,"Stromal cells","BSeqSC","uncorrected_gd"
"165",0.534877695866143,"Macro/mono Lineage","BSeqSC","uncorrected_gd"
"166",0.244475499904263,"Bcells","BSeqSC","uncorrected_gd"
"167",-0.170402176246334,"CD4 Tcells","BSeqSC","uncorrected_gd"
"168",0.181530246040479,"Regulatory CD4 Tcells","BSeqSC","uncorrected_gd"
"169",-0.0736522018027004,"CD8 Tcells","BSeqSC","uncorrected_gd"
"170",0.295596666246859,"Proliferative Tcells","BSeqSC","uncorrected_gd"
"171",0.0960188156101878,"NK cells","BSeqSC","uncorrected_gd"
"172",0.292483077783092,"Cancer cells","BSeqSC","uncorrected_gdwoOthers"
"173",0.451999294514392,"Stromal cells","BSeqSC","uncorrected_gdwoOthers"
"174",0.521809398746896,"Macro/mono Lineage","BSeqSC","uncorrected_gdwoOthers"
"175",0.251607567954648,"Bcells","BSeqSC","uncorrected_gdwoOthers"
"176",-0.184999637277153,"CD4 Tcells","BSeqSC","uncorrected_gdwoOthers"
"177",0.177189349759343,"Regulatory CD4 Tcells","BSeqSC","uncorrected_gdwoOthers"
"178",-0.0727955751503622,"CD8 Tcells","BSeqSC","uncorrected_gdwoOthers"
"179",0.286814766208864,"Proliferative Tcells","BSeqSC","uncorrected_gdwoOthers"
"180",0.0926093450168889,"NK cells","BSeqSC","uncorrected_gdwoOthers"
"181",0.415524391406058,"Cancer cells","CIBERSORTx","uncorrected_gd"
"182",0.263179657303455,"Stromal cells","CIBERSORTx","uncorrected_gd"
"183",0.329276070371528,"Macro/mono Lineage","CIBERSORTx","uncorrected_gd"
"184",0.388988013972895,"Bcells","CIBERSORTx","uncorrected_gd"
