"","values","samples","models","cols"
"110",0.283402839909399,"NIC3","CIBERSORTx","uncorrected_woProl_gd"
"111",0.150343213077791,"NIC4","CIBERSORTx","uncorrected_woProl_gd"
"112",0.142898597614825,"NIC5","CIBERSORTx","uncorrected_woProl_gd"
"113",0.0605141841719344,"NIC6","CIBERSORTx","uncorrected_woProl_gd"
"114",0.0949101613994731,"NIC7","CIBERSORTx","uncorrected_woProl_gd"
"115",0.117898509741831,"S52","CIBERSORTx","uncorrected_woProl_gd"
"116",0.0760390686071418,"NIC12nova","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"117",0.118985700203266,"NIC12","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"118",0.253108311663468,"NIC13","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"119",0.164775468063137,"NIC15","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"120",0.0922730571793748,"NIC16","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"121",0.0667323745994328,"NIC17","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"122",0.0489926116129,"NIC18","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"123",0.0704365072645871,"NIC19","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"124",0.0501645540512111,"NIC20","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"125",0.0832955494480114,"NIC21","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"126",0.108532781547356,"NIC22nova","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"127",0.153695776410259,"NIC22","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"128",0.0454564313974717,"NIC23","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"129",0.178557996808525,"NIC24","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"130",0.096048217532256,"NIC25","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"131",0.14210569633088,"NIC27","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"132",0.216384959574785,"NIC29","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"133",0.28938846180502,"NIC3","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"134",0.158391653366036,"NIC4","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"135",0.144283816958043,"NIC5","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"136",0.0553026389256568,"NIC6","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"137",0.0898767565177017,"NIC7","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"138",0.121733935369048,"S52","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"139",0.0772756692443117,"NIC12nova","DigitalDLSorter","uncorrected_woProl_gd"
"140",0.069008594776669,"NIC12","DigitalDLSorter","uncorrected_woProl_gd"
"141",0.232215253908853,"NIC13","DigitalDLSorter","uncorrected_woProl_gd"
"142",0.294413782394875,"NIC15","DigitalDLSorter","uncorrected_woProl_gd"
"143",0.0121274744643124,"NIC16","DigitalDLSorter","uncorrected_woProl_gd"
"144",0.0811467126122047,"NIC17","DigitalDLSorter","uncorrected_woProl_gd"
"145",0.130934149200188,"NIC18","DigitalDLSorter","uncorrected_woProl_gd"
"146",0.0446474479363064,"NIC19","DigitalDLSorter","uncorrected_woProl_gd"
"147",0.0677669334370646,"NIC20","DigitalDLSorter","uncorrected_woProl_gd"
"148",0.168484470577061,"NIC21","DigitalDLSorter","uncorrected_woProl_gd"
"149",0.0268998389334606,"NIC22nova","DigitalDLSorter","uncorrected_woProl_gd"
"150",0.0358357507256571,"NIC22","DigitalDLSorter","uncorrected_woProl_gd"
"151",0.0280081444484165,"NIC23","DigitalDLSorter","uncorrected_woProl_gd"
"152",0.153999650781265,"NIC24","DigitalDLSorter","uncorrected_woProl_gd"
"153",0.0401213202492758,"NIC25","DigitalDLSorter","uncorrected_woProl_gd"
"154",0.221326061176404,"NIC27","DigitalDLSorter","uncorrected_woProl_gd"
"155",0.308480865033729,"NIC29","DigitalDLSorter","uncorrected_woProl_gd"
"156",0.270678004565256,"NIC3","DigitalDLSorter","uncorrected_woProl_gd"
"157",0.035253746040268,"NIC4","DigitalDLSorter","uncorrected_woProl_gd"
"158",0.0249638975211476,"NIC5","DigitalDLSorter","uncorrected_woProl_gd"
"159",0.114412404043884,"NIC6","DigitalDLSorter","uncorrected_woProl_gd"
"160",0.121723996221319,"NIC7","DigitalDLSorter","uncorrected_woProl_gd"
"161",0.0533005592744276,"S52","DigitalDLSorter","uncorrected_woProl_gd"
"162",0.0666705156042065,"NIC12nova","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"163",0.0583744962782725,"NIC12","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"164",0.25219054546851,"NIC13","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"165",0.295814578960772,"NIC15","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"166",0.0154916299507429,"NIC16","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"167",0.0776284864573106,"NIC17","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"168",0.122776195394457,"NIC18","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"169",0.0434576400348317,"NIC19","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"170",0.0668906262614056,"NIC20","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"171",0.162898946887297,"NIC21","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"172",0.0161908351383264,"NIC22nova","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"173",0.0219046760433872,"NIC22","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"174",0.0241724365514715,"NIC23","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"175",0.164487485946981,"NIC24","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"176",0.0405454240893111,"NIC25","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"177",0.215039147179658,"NIC27","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"178",0.309733751024669,"NIC29","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"179",0.276377459039819,"NIC3","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"180",0.0470363892175428,"NIC4","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"181",0.0235541996003529,"NIC5","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"182",0.110045415919675,"NIC6","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"183",0.116740342602022,"NIC7","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"184",0.0570857357800857,"S52","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"185",0.0946649214426766,"NIC12nova","DWLS","uncorrected_woProl_gd"
"186",0.110175564807685,"NIC12","DWLS","uncorrected_woProl_gd"
"187",0.211545328909553,"NIC13","DWLS","uncorrected_woProl_gd"
"188",0.199514549858205,"NIC15","DWLS","uncorrected_woProl_gd"
"189",0.0721019134681607,"NIC16","DWLS","uncorrected_woProl_gd"
"190",0.134478920827432,"NIC17","DWLS","uncorrected_woProl_gd"
"191",0.0812373105696874,"NIC18","DWLS","uncorrected_woProl_gd"
"192",0.114474291660718,"NIC19","DWLS","uncorrected_woProl_gd"
"193",0.0300812015026906,"NIC20","DWLS","uncorrected_woProl_gd"
