"","values","samples","models","cols"
"92",0.0367630968359317,"S52","BSeqSC","uncorrected_woProl_gdwoOthers"
"93",0.941204773997645,"NIC12nova","CIBERSORTx","uncorrected_woProl_gd"
"94",0.84887030764087,"NIC12","CIBERSORTx","uncorrected_woProl_gd"
"95",0.15333694418531,"NIC13","CIBERSORTx","uncorrected_woProl_gd"
"96",0.689120150304339,"NIC15","CIBERSORTx","uncorrected_woProl_gd"
"97",0.96351792131383,"NIC16","CIBERSORTx","uncorrected_woProl_gd"
"98",0.956442419852659,"NIC17","CIBERSORTx","uncorrected_woProl_gd"
"99",0.974034402111501,"NIC18","CIBERSORTx","uncorrected_woProl_gd"
"100",0.977819408865076,"NIC19","CIBERSORTx","uncorrected_woProl_gd"
"101",0.994640486156576,"NIC20","CIBERSORTx","uncorrected_woProl_gd"
"102",0.942929964271133,"NIC21","CIBERSORTx","uncorrected_woProl_gd"
"103",0.932201457977412,"NIC22nova","CIBERSORTx","uncorrected_woProl_gd"
"104",0.834504070791191,"NIC22","CIBERSORTx","uncorrected_woProl_gd"
"105",0.971650516955094,"NIC23","CIBERSORTx","uncorrected_woProl_gd"
"106",0.454387269255591,"NIC24","CIBERSORTx","uncorrected_woProl_gd"
"107",0.871920424025879,"NIC25","CIBERSORTx","uncorrected_woProl_gd"
"108",0.866193901409753,"NIC27","CIBERSORTx","uncorrected_woProl_gd"
"109",0.471845601475477,"NIC29","CIBERSORTx","uncorrected_woProl_gd"
"110",0.103175003968119,"NIC3","CIBERSORTx","uncorrected_woProl_gd"
"111",0.755105660192392,"NIC4","CIBERSORTx","uncorrected_woProl_gd"
"112",0.863480087314221,"NIC5","CIBERSORTx","uncorrected_woProl_gd"
"113",0.993862071058133,"NIC6","CIBERSORTx","uncorrected_woProl_gd"
"114",0.979313584737583,"NIC7","CIBERSORTx","uncorrected_woProl_gd"
"115",0.880796734927673,"S52","CIBERSORTx","uncorrected_woProl_gd"
"116",0.941204773997645,"NIC12nova","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"117",0.84887030764087,"NIC12","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"118",0.15333694418531,"NIC13","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"119",0.689120150304338,"NIC15","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"120",0.96351792131383,"NIC16","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"121",0.956442419852659,"NIC17","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"122",0.974034402111501,"NIC18","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"123",0.977819408865076,"NIC19","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"124",0.994640486156576,"NIC20","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"125",0.942929964271133,"NIC21","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"126",0.932201457977412,"NIC22nova","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"127",0.834504070791191,"NIC22","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"128",0.971650516955094,"NIC23","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"129",0.454387269255591,"NIC24","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"130",0.871920424025878,"NIC25","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"131",0.866193901409753,"NIC27","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"132",0.471845601475477,"NIC29","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"133",0.103175003968119,"NIC3","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"134",0.755105660192392,"NIC4","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"135",0.863480087314221,"NIC5","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"136",0.993862071058133,"NIC6","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"137",0.979313584737583,"NIC7","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"138",0.880796734927672,"S52","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"139",0.990969415081728,"NIC12nova","DigitalDLSorter","uncorrected_woProl_gd"
"140",0.992525973477281,"NIC12","DigitalDLSorter","uncorrected_woProl_gd"
"141",0.0504136969287352,"NIC13","DigitalDLSorter","uncorrected_woProl_gd"
"142",0.369691742785299,"NIC15","DigitalDLSorter","uncorrected_woProl_gd"
"143",0.999443024771712,"NIC16","DigitalDLSorter","uncorrected_woProl_gd"
"144",0.987351450596838,"NIC17","DigitalDLSorter","uncorrected_woProl_gd"
"145",0.947150221679538,"NIC18","DigitalDLSorter","uncorrected_woProl_gd"
"146",0.994340910278971,"NIC19","DigitalDLSorter","uncorrected_woProl_gd"
"147",0.990854260352199,"NIC20","DigitalDLSorter","uncorrected_woProl_gd"
"148",0.844663371113234,"NIC21","DigitalDLSorter","uncorrected_woProl_gd"
"149",0.998500478450994,"NIC22nova","DigitalDLSorter","uncorrected_woProl_gd"
"150",0.998736932201634,"NIC22","DigitalDLSorter","uncorrected_woProl_gd"
"151",0.992900438474993,"NIC23","DigitalDLSorter","uncorrected_woProl_gd"
"152",0.50025424202676,"NIC24","DigitalDLSorter","uncorrected_woProl_gd"
"153",0.977075130549683,"NIC25","DigitalDLSorter","uncorrected_woProl_gd"
"154",0.796870286738288,"NIC27","DigitalDLSorter","uncorrected_woProl_gd"
"155",0.25694723810445,"NIC29","DigitalDLSorter","uncorrected_woProl_gd"
"156",0.16524511012086,"NIC3","DigitalDLSorter","uncorrected_woProl_gd"
"157",0.994330948733662,"NIC4","DigitalDLSorter","uncorrected_woProl_gd"
"158",0.998224012792917,"NIC5","DigitalDLSorter","uncorrected_woProl_gd"
"159",0.968533190392452,"NIC6","DigitalDLSorter","uncorrected_woProl_gd"
"160",0.969720738140463,"NIC7","DigitalDLSorter","uncorrected_woProl_gd"
"161",0.982971994362025,"S52","DigitalDLSorter","uncorrected_woProl_gd"
"162",0.990969415081728,"NIC12nova","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"163",0.992525973477281,"NIC12","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"164",0.0504136969287352,"NIC13","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"165",0.369691742785298,"NIC15","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"166",0.999443024771712,"NIC16","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"167",0.987351450596838,"NIC17","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"168",0.947150221679538,"NIC18","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"169",0.994340910278971,"NIC19","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"170",0.990854260352199,"NIC20","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"171",0.844663371113233,"NIC21","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"172",0.998500478450994,"NIC22nova","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"173",0.998736932201634,"NIC22","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"174",0.992900438474993,"NIC23","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"175",0.50025424202676,"NIC24","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"176",0.977075130549683,"NIC25","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"177",0.796870286738287,"NIC27","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"178",0.25694723810445,"NIC29","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"179",0.165245110120859,"NIC3","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"180",0.994330948733662,"NIC4","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"181",0.998224012792917,"NIC5","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"182",0.968533190392452,"NIC6","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"183",0.969720738140463,"NIC7","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
"184",0.982971994362025,"S52","DigitalDLSorter","uncorrected_woProl_gdwoOthers"
