"","values","cell_types","models","cols"
"95",0.22619427104669,"CD8 Tcells","MOMF","uncorrected_woProl_gdwoOthers"
"96",0.524065493396506,"NK cells","MOMF","uncorrected_woProl_gdwoOthers"
"97",0.485744734401442,"Cancer cells","MuSiC_wGrouping","uncorrected_woProl_gd"
"98",0.16543805826013,"Stromal cells","MuSiC_wGrouping","uncorrected_woProl_gd"
"99",0.176665001413564,"Macro/mono Lineage","MuSiC_wGrouping","uncorrected_woProl_gd"
"100",0.0358478948462643,"Bcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"101",0.0362687290077999,"CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"102",0.0751777843274868,"Regulatory CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"103",0.0990139080923481,"CD8 Tcells","MuSiC_wGrouping","uncorrected_woProl_gd"
"104",0.0599826873474971,"NK cells","MuSiC_wGrouping","uncorrected_woProl_gd"
"105",0.514117829976374,"Cancer cells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"106",0.162056981093216,"Stromal cells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"107",0.173478422936359,"Macro/mono Lineage","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"108",0.0356324814728427,"Bcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"109",0.0396128729974731,"CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"110",0.0746129251070207,"Regulatory CD4 Tcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"111",0.0979428438431109,"CD8 Tcells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"112",0.0598022815276097,"NK cells","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"113",0.16872807040806,"Cancer cells","Scaden","uncorrected_woProl_gd"
"114",0.284332612242522,"Stromal cells","Scaden","uncorrected_woProl_gd"
"115",0.0863567260214497,"Macro/mono Lineage","Scaden","uncorrected_woProl_gd"
"116",0.00478362646328824,"Bcells","Scaden","uncorrected_woProl_gd"
"117",0.0441061631429489,"CD4 Tcells","Scaden","uncorrected_woProl_gd"
"118",0.00857421914403956,"Regulatory CD4 Tcells","Scaden","uncorrected_woProl_gd"
"119",0.0205354530527863,"CD8 Tcells","Scaden","uncorrected_woProl_gd"
"120",0.00459793188835161,"NK cells","Scaden","uncorrected_woProl_gd"
"121",0.181276928882736,"Cancer cells","Scaden","uncorrected_woProl_gdwoOthers"
"122",0.278336065671845,"Stromal cells","Scaden","uncorrected_woProl_gdwoOthers"
"123",0.092311605751739,"Macro/mono Lineage","Scaden","uncorrected_woProl_gdwoOthers"
"124",0.00501799609640131,"Bcells","Scaden","uncorrected_woProl_gdwoOthers"
"125",0.047445575643025,"CD4 Tcells","Scaden","uncorrected_woProl_gdwoOthers"
"126",0.0092585377089788,"Regulatory CD4 Tcells","Scaden","uncorrected_woProl_gdwoOthers"
"127",0.0225198247314856,"CD8 Tcells","Scaden","uncorrected_woProl_gdwoOthers"
"128",0.00481878290676069,"NK cells","Scaden","uncorrected_woProl_gdwoOthers"
"129",0.528241518948486,"Cancer cells","SCDC","uncorrected_woProl_gd"
